method	distance
front	1.65
back	5.43
back	2.90
front	4.36
back	2.35
front	2.44
back	5.57
front	4.15
front	5.22
back	5.53
front	5.46
back	6.60
back	5.18
front	4.76
back	3.94
back	6.33
back	8.05
front	2.83
front	5.18
back	6.71
back	6.63
front	3.27
back	4.37
front	3.17
back	3.91
front	5.13
back	5.75
front	2.53
front	5.74
back	7.30
back	7.81
front	3.13
back	5.08
back	8.94
front	5.68
back	6.69
back	6.01
front	2.60
front	6.85
front	4.57
front	4.18
back	5.26
front	2.86
back	2.95
front	5.15
back	6.69
front	5.36
back	6.16
back	5.53
back	4.70
